ATIVIDADES DE EXTENSÃO REGISTRADAS NA PRÓ-REITORIA DE EXTENSÃO UNIVERSITÁRIA (PROEXT) EM 2021 E HOMOLOGADAS PELO CONSELHO DE EXTENSÃO UNIVERSITÁRIA (COEXT) ,,,,,,,,,,,,
Registro,Título da Atividade,Coordenador da Atividade,Unidade UFTM,Modalidade,Área Temática Principal,Início,Término,Envio,Data do Registro,Edital,Órgão Financeiro ,Valores (R$)
61/2021,Universidade em Cena,Luciana Moura Colucci de Camargo,IELACHS,Programa,Cultura,01/04/2021,01/04/2023,15/02/2021,12/03/2021,SIEX - Fluxo Contínuo,PROEXT - UFTM (1 Bolsa de Extensão - 09 meses/2021 - PS DDCULT nº 06/2021) / (01 bolsa de Extensão - 09 meses/2022 - Ed. PROEXT 13/2021),"R$ 3.600,00 / R$ 3.600,00"
62/2021,Comunidade de práticas em terapia ocupacional no SUAS: articulação profissional e construções de estratégias,MARINA LEANDRINI DE OLIVEIRA,ICS,Projeto,Direitos Humanos e Justiça,05/04/2021,28/12/2021,08/03/2021,16/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
63/2021,Liga de Psicologia do Desenvolvimento Humano da Criança e do Adolescente,Conceição Aparecida Serralha  - Alterado para: VILMA VALERIA DIAS COUTO,IELACHS,Liga Acadêmica (Programa),Educação,16/08/2021,20/12/2025,03/03/2021,17/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
64/2021,Liga Acadêmica de Ciências Forenses – LACF,SIOMAR DE CASTRO SOARES,ICBN,Liga Acadêmica (Programa),Direitos Humanos e Justiça,16/04/2021,16/04/2022,11/03/2021,18/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
65/2021,Centro de Estudos Unificados,MARIANA RISSI AZEVEDO,Campus Universitário de Iturama,Programa,Educação,15/04/2021,15/04/2026,18/03/2021,19/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
66/2021,LIGA ACADÊMICA DE SAÚDE E ESPIRITUALIDADE DA UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO (LIASE - UFTM),Adriana Clemente Mendonça,ICS,Liga Acadêmica (Programa),Saúde,01/03/2021,01/12/2021,18/12/2020,19/03/2021,SIGProj - Edital PIBEX nº  07/2020 - sem bolsa,Não Tem Recurso Financeiro,----
67/2021,Laboratório de Ensino de História e Estágio Supervisionado (LEHES) e o espaço virtual,Anelise Martinelli Borges de Oliveira,IELACHS,Projeto,Educação,19/03/2021,19/07/2022,19/02/2021,19/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
68/2021,Liga de Cirurgia Plástica e Dermatologia,MANOEL PEREIRA DA SILVA NETO,ICS,Liga Acadêmica (Programa),Saúde,12/05/2021,08/12/2021,04/03/2021,22/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
69/2021,"COVID-19 na gestação, parto e puerpério",MARIANA TORREGLOSA RUIZ,ICS,Curso,Saúde,12/04/2021,15/04/2021,11/03/2021,22/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
70/2021,Liga Acadêmica de Medicina Integrada ao Exercício,MURILO ANTONIO ROCHA,ICS,Liga Acadêmica (Programa),Saúde,08/04/2021,08/04/2022,11/03/2021,22/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
